,X.,Date_Time,Temp,Batt..V..,Coupler.Detached..,Coupler.Attached..,Stopped..,End.Of.File..,Date,Time
c..09.06.2011....22.19..,125,09/06/2011 22:19,15.986,3.6,,,,,06/09/2011,2219
c..09.06.2011....22.49..,126,09/06/2011 22:49,15.963,3.6,,,,,06/09/2011,2249
c..09.06.2011....23.19..,127,09/06/2011 23:19,15.939,3.6,,,,,06/09/2011,2319
c..09.06.2011....23.49..,128,09/06/2011 23:49,16.153,3.6,,,,,06/09/2011,2349
c..09.07.2011....00.19..,129,09/07/2011 00:19,16.106,3.6,,,,,07/09/2011,19
c..09.07.2011....00.49..,130,09/07/2011 00:49,16.082,3.6,,,,,07/09/2011,49
c..09.07.2011....01.19..,131,09/07/2011 01:19,15.986,3.6,,,,,07/09/2011,119
c..09.07.2011....01.49..,132,09/07/2011 01:49,15.963,3.6,,,,,07/09/2011,149
c..09.07.2011....02.19..,133,09/07/2011 02:19,15.915,3.6,,,,,07/09/2011,219
c..09.07.2011....02.49..,134,09/07/2011 02:49,15.843,3.6,,,,,07/09/2011,249
c..09.07.2011....03.19..,135,09/07/2011 03:19,15.581,3.6,,,,,07/09/2011,319
c..09.07.2011....03.49..,136,09/07/2011 03:49,15.438,3.6,,,,,07/09/2011,349
c..09.07.2011....04.19..,137,09/07/2011 04:19,15.7,3.6,,,,,07/09/2011,419
c..09.07.2011....04.49..,138,09/07/2011 04:49,15.629,3.6,,,,,07/09/2011,449
c..09.07.2011....05.19..,139,09/07/2011 05:19,15.629,3.6,,,,,07/09/2011,519
c..09.07.2011....05.49..,140,09/07/2011 05:49,15.414,3.6,,,,,07/09/2011,549
c..09.07.2011....06.19..,141,09/07/2011 06:19,15.438,3.6,,,,,07/09/2011,619
c..09.07.2011....06.49..,142,09/07/2011 06:49,15.652,3.6,,,,,07/09/2011,649
c..09.07.2011....07.19..,143,09/07/2011 07:19,15.557,3.6,,,,,07/09/2011,719
c..09.07.2011....07.49..,144,09/07/2011 07:49,15.629,3.6,,,,,07/09/2011,749
c..09.07.2011....08.19..,145,09/07/2011 08:19,15.629,3.6,,,,,07/09/2011,819
c..09.07.2011....08.49..,146,09/07/2011 08:49,15.772,3.6,,,,,07/09/2011,849
c..09.07.2011....09.19..,147,09/07/2011 09:19,15.891,3.6,,,,,07/09/2011,919
c..09.07.2011....09.49..,148,09/07/2011 09:49,16.01,3.6,,,,,07/09/2011,949
c..09.07.2011....10.19..,149,09/07/2011 10:19,16.082,3.6,,,,,07/09/2011,1019
c..09.07.2011....10.49..,150,09/07/2011 10:49,16.201,3.57,,,,,07/09/2011,1049
c..09.07.2011....11.19..,151,09/07/2011 11:19,16.296,3.6,,,,,07/09/2011,1119
c..09.07.2011....11.49..,152,09/07/2011 11:49,16.392,3.6,,,,,07/09/2011,1149
c..09.07.2011....12.19..,153,09/07/2011 12:19,16.868,3.6,,,,,07/09/2011,1219
c..09.07.2011....12.49..,154,09/07/2011 12:49,16.868,3.6,,,,,07/09/2011,1249
c..09.07.2011....13.19..,155,09/07/2011 13:19,16.725,3.6,,,,,07/09/2011,1319
c..09.07.2011....13.49..,156,09/07/2011 13:49,17.13,3.6,,,,,07/09/2011,1349
c..09.07.2011....14.19..,157,09/07/2011 14:19,17.296,3.6,,,,,07/09/2011,1419
c..09.07.2011....14.49..,158,09/07/2011 14:49,17.32,3.6,,,,,07/09/2011,1449
c..09.07.2011....15.19..,159,09/07/2011 15:19,17.724,3.6,,,,,07/09/2011,1519
c..09.07.2011....15.49..,160,09/07/2011 15:49,17.653,3.6,,,,,07/09/2011,1549
c..09.07.2011....16.19..,161,09/07/2011 16:19,17.439,3.6,,,,,07/09/2011,1619
c..09.07.2011....16.49..,162,09/07/2011 16:49,17.32,3.6,,,,,07/09/2011,1649
