,X.,Date_Time,Temp,Logged,X,X.1,X.2,X.3,X.4,Date,Time
c..07.28.14....04.00.38...1,101,07/28/14 04:00:38,16.558,3.57,,,,,,28/07/2014,41238
c..07.28.14....04.30.38...1,102,07/28/14 04:30:38,16.534,3.57,,,,,,28/07/2014,44238
c..07.28.14....05.00.38...1,103,07/28/14 05:00:38,16.534,3.57,,,,,,28/07/2014,51238
c..07.28.14....05.30.38...1,104,07/28/14 05:30:38,16.558,3.57,,,,,,28/07/2014,54238
c..07.28.14....06.00.38...1,105,07/28/14 06:00:38,16.511,3.57,,,,,,28/07/2014,61238
c..07.28.14....06.30.38...1,106,07/28/14 06:30:38,16.439,3.57,,,,,,28/07/2014,64238
c..07.28.14....07.00.38...1,107,07/28/14 07:00:38,16.368,3.57,,,,,,28/07/2014,71238
c..07.28.14....07.30.38...1,108,07/28/14 07:30:38,16.153,3.57,,,,,,28/07/2014,74238
c..07.28.14....08.00.38...1,109,07/28/14 08:00:38,16.082,3.57,,,,,,28/07/2014,81238
c..07.28.14....08.30.38...1,110,07/28/14 08:30:38,16.034,3.57,,,,,,28/07/2014,84238
c..07.28.14....09.00.38...1,111,07/28/14 09:00:38,16.153,3.57,,,,,,28/07/2014,91238
c..07.28.14....09.30.38...1,112,07/28/14 09:30:38,16.129,3.57,,,,,,28/07/2014,94238
c..07.28.14....10.00.38...1,113,07/28/14 10:00:38,16.106,3.57,,,,,,28/07/2014,101238
c..07.28.14....10.30.38...1,114,07/28/14 10:30:38,16.082,3.57,,,,,,28/07/2014,104238
c..07.28.14....11.00.38...1,115,07/28/14 11:00:38,16.082,3.57,,,,,,28/07/2014,111238
c..07.28.14....11.30.38...1,116,07/28/14 11:30:38,15.939,3.57,,,,,,28/07/2014,114238
c..07.29.14....12.00.38..,117,07/29/14 12:00:38,16.058,3.57,,,,,,29/07/2014,120038
c..07.29.14....12.30.38..,118,07/29/14 12:30:38,16.034,3.57,,,,,,29/07/2014,123038
c..07.29.14....01.00.38..,119,07/29/14 01:00:38,16.082,3.57,,,,,,29/07/2014,10038
c..07.29.14....01.30.38..,120,07/29/14 01:30:38,16.106,3.57,,,,,,29/07/2014,13038
c..07.29.14....02.00.38..,121,07/29/14 02:00:38,15.963,3.57,,,,,,29/07/2014,20038
c..07.29.14....02.30.38..,122,07/29/14 02:30:38,15.867,3.57,,,,,,29/07/2014,23038
c..07.29.14....03.00.38..,123,07/29/14 03:00:38,15.963,3.57,,,,,,29/07/2014,30038
c..07.29.14....03.30.38..,124,07/29/14 03:30:38,15.939,3.57,,,,,,29/07/2014,33038
c..07.29.14....04.00.38..,125,07/29/14 04:00:38,15.796,3.57,,,,,,29/07/2014,40038
c..07.29.14....04.30.38..,126,07/29/14 04:30:38,15.652,3.57,,,,,,29/07/2014,43038
c..07.29.14....05.00.38..,127,07/29/14 05:00:38,15.772,3.57,,,,,,29/07/2014,50038
c..07.29.14....05.30.38..,128,07/29/14 05:30:38,15.676,3.57,,,,,,29/07/2014,53038
c..07.29.14....06.00.38..,129,07/29/14 06:00:38,15.748,3.57,,,,,,29/07/2014,60038
c..07.29.14....06.30.38..,130,07/29/14 06:30:38,15.819,3.57,,,,,,29/07/2014,63038
c..07.29.14....07.00.38..,131,07/29/14 07:00:38,15.843,3.57,,,,,,29/07/2014,70038
c..07.29.14....07.30.38..,132,07/29/14 07:30:38,15.796,3.57,,,,,,29/07/2014,73038
c..07.29.14....08.00.38..,133,07/29/14 08:00:38,15.819,3.57,,,,,,29/07/2014,80038
c..07.29.14....08.30.38..,134,07/29/14 08:30:38,15.867,3.57,,,,,,29/07/2014,83038
c..07.29.14....09.00.38..,135,07/29/14 09:00:38,15.963,3.57,,,,,,29/07/2014,90038
c..07.29.14....09.30.38..,136,07/29/14 09:30:38,16.153,3.57,,,,,,29/07/2014,93038
c..07.29.14....10.00.38..,137,07/29/14 10:00:38,16.082,3.57,,,,,,29/07/2014,100038
c..07.29.14....10.30.38..,138,07/29/14 10:30:38,16.153,3.57,,,,,,29/07/2014,103038
c..07.29.14....11.00.38..,139,07/29/14 11:00:38,16.32,3.57,,,,,,29/07/2014,110038
c..07.29.14....11.30.38..,140,07/29/14 11:30:38,16.558,3.57,,,,,,29/07/2014,113038
c..07.29.14....12.00.38...1,141,07/29/14 12:00:38,16.796,3.57,,,,,,29/07/2014,121238
c..07.29.14....12.30.38...1,142,07/29/14 12:30:38,16.749,3.57,,,,,,29/07/2014,124238
c..07.29.14....01.00.38...1,143,07/29/14 01:00:38,16.439,3.57,,,,,,29/07/2014,11238
c..07.29.14....01.30.38...1,144,07/29/14 01:30:38,16.701,3.57,,,,,,29/07/2014,14238
c..07.29.14....02.00.38...1,145,07/29/14 02:00:38,16.677,3.57,,,,,,29/07/2014,21238
c..07.29.14....02.30.38...1,146,07/29/14 02:30:38,16.701,3.57,,,,,,29/07/2014,24238
c..07.29.14....03.00.38...1,147,07/29/14 03:00:38,16.582,3.57,,,,,,29/07/2014,31238
c..07.29.14....03.30.38...1,148,07/29/14 03:30:38,16.582,3.57,,,,,,29/07/2014,34238
c..07.29.14....04.00.38...1,149,07/29/14 04:00:38,16.749,3.57,,,,,,29/07/2014,41238
c..07.29.14....04.30.38...1,150,07/29/14 04:30:38,16.796,3.57,,,,,,29/07/2014,44238
c..07.29.14....05.00.38...1,151,07/29/14 05:00:38,16.868,3.57,,,,,,29/07/2014,51238
c..07.29.14....05.30.38...1,152,07/29/14 05:30:38,16.796,3.57,,,,,,29/07/2014,54238
c..07.29.14....06.00.38...1,153,07/29/14 06:00:38,16.725,3.57,,,,,,29/07/2014,61238
c..07.29.14....06.30.38...1,154,07/29/14 06:30:38,16.796,3.57,,,,,,29/07/2014,64238
c..07.29.14....07.00.38...1,155,07/29/14 07:00:38,16.725,3.57,,,,,,29/07/2014,71238
c..07.29.14....07.30.38...1,156,07/29/14 07:30:38,16.606,3.57,,,,,,29/07/2014,74238
c..07.29.14....08.00.38...1,157,07/29/14 08:00:38,16.534,3.57,,,,,,29/07/2014,81238
c..07.29.14....08.30.38...1,158,07/29/14 08:30:38,16.534,3.57,,,,,,29/07/2014,84238
c..07.29.14....09.00.38...1,159,07/29/14 09:00:38,16.177,3.57,,,,,,29/07/2014,91238
c..07.29.14....09.30.38...1,160,07/29/14 09:30:38,16.344,3.57,,,,,,29/07/2014,94238
c..07.29.14....10.00.38...1,161,07/29/14 10:00:38,16.32,3.57,,,,,,29/07/2014,101238
c..07.29.14....10.30.38...1,162,07/29/14 10:30:38,16.201,3.57,,,,,,29/07/2014,104238
